TeamID,TeamName,TeamCapsAbrv,TeamAbrv
1,Baltimore Ravens,RAV,rav
2,Denver Broncos,DEN,den
3,Oakland Raiders,RAI,rai
4,Philadelphia Eagles,PHI,phi
5,Dallas Cowboys,DAL,dal
6,Jacksonville Jaguars,JAX,jax
7,Indianapolis Colts,CLT,clt
8,Washington Redskins,WAS,was
9,San Diego Chargers,SDG,sdg
10,Kansas City Chiefs,KAN,kan
11,New England Patriots,NWE,nwe
12,Tennessee Titans,OTI,oti
13,Houston Texans,HTX,htx
14,New York Giants,NYG,nyg
15,Carolina Panthers,CAR,car
16,San Francisco 49ers,SFO,sfo
17,Arizona Cardinals,CRD,crd
18,St Louis Rams,RAM,ram
19,Tampa Bay Buccaneers,TAM,tam
20,Atlanta Falcons,ATL,atl
21,Minnesota Vikings,MIN,min
22,New Orleans Saints,NOR,nor
23,Seattle Seahawks,SEA,sea
24,Buffalo Bills,BUF,buf
25,Miami Dolphins,MIA,mia
26,New York Jets,NYJ,nyj
27,Cleveland Browns,CLE,cle
28,Pittsburgh Steelers,PIT,pit
29,Cincinnati Bengals,CIN,cin
30,Chicago Bears,CHI,chi
31,Green Bay Packers,GNB,gnb
32,Detroit Lions,DET,det
