RushingStatsID,PlayerID,PositionID,TeamID,GameID,Att,Yds,Lng,TD,RunShort,RunFive,RunFifteen,RunThirtyPlus,RZInsideTwenty,RZInsideTen,RZInsideFive,RZTD,RZTotal
1,6,1,1,1,3,7,3,0,3,0,0,0,0,0,0,0,0
2,6,1,1,2,5,3,3,0,3,0,0,0,1,0,2,0,3
3,6,1,1,3,4,6,7,0,2,1,0,0,0,0,1,0,1
4,6,1,1,4,1,3,3,0,1,0,0,0,0,0,0,0,0
5,6,1,1,7,1,4,4,0,1,0,0,0,0,0,0,0,0
6,6,1,1,8,2,12,13,0,0,1,0,0,0,0,0,0,0
7,6,1,1,9,1,2,2,0,2,0,0,0,0,0,0,0,0
8,6,1,1,10,3,-2,0,0,0,0,0,0,0,0,0,0,0
9,6,1,1,11,2,2,3,0,1,0,0,0,0,0,0,0,0
10,6,1,1,12,2,3,2,1,2,0,0,0,0,0,1,1,1
11,7,2,1,1,11,70,13,1,5,7,0,0,1,0,0,1,1
12,7,2,1,2,8,56,41,0,6,1,0,1,0,0,2,0,2
13,7,2,1,3,11,63,22,0,5,4,2,0,2,0,0,0,2
14,7,2,1,4,14,66,21,1,9,4,0,0,3,0,0,1,3
15,7,2,1,5,6,42,29,1,4,1,1,0,1,0,0,1,1
16,7,2,1,6,14,111,52,0,8,5,0,1,2,1,0,0,3
17,7,2,1,7,23,95,21,0,16,6,1,0,0,1,0,0,1
18,7,2,1,8,17,68,12,0,12,8,0,0,0,2,1,0,3
19,7,2,1,9,9,38,12,0,5,4,0,0,0,0,1,0,1
20,7,2,1,10,20,112,37,2,12,7,0,1,1,1,1,2,3
21,7,2,1,11,22,182,38,2,13,5,2,2,4,1,0,2,5
22,7,2,1,12,24,106,23,0,16,6,2,0,7,1,2,0,10
23,9,3,1,2,1,2,2,0,1,0,0,0,0,1,0,0,1
24,9,3,1,11,1,3,3,0,0,0,0,0,0,0,0,0,0
25,10,2,1,1,6,17,6,0,6,2,0,0,0,0,0,0,0
26,10,2,1,2,22,96,17,0,15,6,1,0,3,0,4,0,7
27,10,2,1,5,4,30,13,0,2,2,0,0,1,0,0,0,1
28,10,2,1,6,15,32,6,1,13,2,0,0,2,1,1,1,4
29,10,2,1,7,8,21,11,1,6,2,0,0,2,0,1,1,3
30,10,2,1,9,1,2,2,0,1,0,0,0,0,0,0,0,0
31,10,2,1,10,8,31,10,0,5,3,0,0,0,0,0,0,0
32,10,2,1,11,7,28,26,0,6,0,1,0,0,0,0,0,0
33,10,2,1,12,6,16,6,0,4,2,0,0,1,0,0,0,1
34,14,2,1,3,18,91,31,1,11,6,0,1,3,0,2,1,5
35,14,2,1,4,15,58,23,1,12,2,1,0,3,0,1,1,4
36,14,2,1,5,5,18,9,0,4,1,0,0,1,0,1,0,2
37,14,2,1,6,2,29,25,0,1,0,1,0,0,0,0,0,0
38,14,2,1,7,4,3,3,0,3,1,0,0,0,0,0,0,0
39,14,2,1,8,7,27,10,2,5,2,0,0,0,2,1,2,3
40,14,2,1,9,7,21,6,0,6,2,1,0,0,0,1,0,1
41,14,2,1,10,3,10,4,0,3,0,0,0,0,0,0,0,0
42,15,1,1,6,4,-3,0,0,0,0,0,0,0,0,0,0,0
43,17,2,2,13,4,27,13,0,2,2,0,0,0,0,0,0,0
44,17,2,2,14,5,31,13,0,3,2,0,0,0,0,0,0,0
45,17,2,2,15,2,-3,-1,0,2,0,0,0,0,0,0,0,0
46,17,2,2,18,2,9,5,0,1,1,0,0,1,0,0,0,1
47,17,2,2,19,1,0,0,0,1,0,0,0,0,0,0,0,0
48,17,2,2,20,3,18,8,0,1,2,0,0,0,0,0,0,0
49,17,2,2,21,13,90,17,0,6,4,3,0,0,1,0,0,1
50,17,2,2,22,9,29,9,0,7,2,0,0,0,0,0,0,0
51,17,2,2,23,27,167,26,1,17,7,3,0,2,2,0,1,4
52,17,2,2,24,32,168,20,0,18,11,3,0,3,1,0,0,4
53,18,2,2,13,23,67,15,1,18,4,1,0,2,1,2,1,5
54,18,2,2,14,12,60,23,0,8,2,2,0,1,1,2,0,4
55,18,2,2,15,14,38,10,0,8,7,0,0,1,1,0,0,2
56,18,2,2,16,6,7,5,0,5,1,0,0,0,0,0,0,0
57,22,2,2,15,2,2,2,0,2,0,0,0,0,0,0,0,0
58,22,2,2,16,15,64,16,0,10,4,1,0,1,0,0,0,1
59,22,2,2,17,24,100,26,0,19,4,2,0,0,2,1,0,3
60,22,2,2,18,14,74,37,2,11,2,0,1,2,0,2,1,4
61,22,2,2,19,20,109,37,0,12,7,0,1,0,1,0,0,1
62,22,2,2,20,10,16,4,1,9,0,0,0,1,1,0,0,2
63,22,2,2,21,6,13,6,0,4,2,0,0,1,0,0,0,1
64,24,1,2,13,4,-3,0,0,0,0,0,0,0,0,0,0,0
65,24,1,2,14,1,-1,-1,0,0,0,0,0,0,0,0,0,0
66,24,1,2,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0
67,24,1,2,16,2,-2,-1,0,0,0,0,0,0,0,0,0,0
68,24,1,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0
69,24,1,2,18,1,-1,-1,0,0,0,0,0,0,0,0,0,0
70,24,1,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0
71,24,1,2,20,2,3,4,0,1,0,0,0,0,0,0,0,0
72,24,1,2,22,1,-1,-1,0,0,0,0,0,0,0,0,0,0
73,24,1,2,23,2,-2,-1,0,0,0,0,0,0,0,0,0,0
74,24,1,2,24,2,-6,-1,0,0,1,0,0,0,0,0,0,0
75,27,1,2,18,3,0,2,0,1,0,0,0,0,0,0,0,0
76,27,1,2,21,3,2,4,0,0,0,0,0,0,0,0,0,0
77,28,3,2,13,1,11,11,0,0,1,0,0,0,0,0,0,0
78,28,3,2,14,1,-2,-2,0,1,0,0,0,0,0,0,0,0
79,28,3,2,16,2,8,5,0,1,1,0,0,0,0,0,0,0
80,28,3,2,19,1,6,6,0,0,1,0,0,0,0,0,0,0
81,28,3,2,21,1,5,5,0,0,1,0,0,0,0,0,0,0
82,28,3,2,23,1,3,3,0,1,0,0,0,0,0,0,0,0
83,32,2,2,16,3,15,8,1,1,2,0,0,0,1,0,1,1
84,32,2,2,17,8,38,16,0,6,1,1,0,2,0,0,0,2
85,32,2,2,18,6,30,9,0,3,3,0,0,1,0,0,0,1
86,32,2,2,19,7,24,5,2,4,3,0,0,1,0,2,2,3
87,32,2,2,20,2,6,6,0,1,1,0,0,0,0,0,0,0
88,32,2,2,21,4,8,5,0,4,1,0,0,0,0,0,0,0
89,32,2,2,23,5,33,21,0,3,1,1,0,0,1,0,0,1
90,32,2,2,24,10,39,17,0,6,3,1,0,1,0,0,0,1
91,37,1,3,25,1,-1,-1,0,0,1,0,0,0,0,0,0,0
92,37,1,3,26,4,58,41,0,2,0,0,1,0,0,0,0,0
93,37,1,3,28,2,9,8,0,1,1,0,0,0,0,0,0,0
94,37,1,3,29,1,2,2,0,1,0,0,0,0,0,0,0,0
95,37,1,3,30,2,2,3,0,1,0,0,0,0,0,0,0,0
96,37,1,3,31,1,2,2,0,1,0,0,0,0,0,0,0,0
97,37,1,3,32,2,9,7,0,0,1,0,0,0,0,0,0,0
98,37,1,3,33,2,0,0,0,0,0,0,0,0,0,0,0,0
99,37,1,3,34,3,2,2,0,2,0,0,0,1,0,0,0,1
100,37,1,3,35,1,1,1,0,1,0,0,0,0,0,0,0,0
101,42,2,3,21,3,10,6,0,2,1,0,0,0,0,0,0,0
102,42,2,3,25,9,11,12,0,7,3,0,0,2,0,0,0,2
103,42,2,3,28,2,1,1,0,2,0,0,0,0,0,0,0,0
